Teams,Winrate,Years Participated,Blue Banners
3871,0.3,12,0
3875,0.5652,12,1
3876,0.3182,12,0
3880,0.5,11,0
3881,0.4167,10,0
3882,0.5517,12,0
3883,0.7241,12,0
3925,0.5517,11,0
3926,0.5789,11,0
3928,0.7045,11,2
3931,0.5714,11,0
3932,0.5244,11,0
3933,0.5,11,0
3936,0.4423,11,0
3937,0.7111,11,0
3939,0.4028,10,0
3940,0.8137,11,2
3944,0.6429,11,0
3950,0.5854,11,0
3951,0.4375,12,0
3952,0.5,11,1
3954,0.5455,11,0
3958,0.5357,11,0
3959,0.7308,11,1
3965,0.475,10,0
3966,0.5455,11,0
3970,0.6275,12,0
3975,0.3333,11,0
3976,0.3636,11,0
3984,0.2727,11,0
3985,0.6154,10,0
3986,0.7368,11,2
3990,0.9268,11,3
3996,0.4545,11,0
4003,0.7692,11,2
4004,0.4651,11,0
4005,0.4667,11,0
4009,0.5357,11,0
4010,0.3571,11,0
4011,0.2727,11,0
4012,0.3,11,0
4013,0.4286,11,0
4014,0.3696,10,0
4015,0.3295,10,1
4019,0.45,11,0
4020,0.6512,11,1
4021,0.6136,11,0
4024,0.3333,11,0
4026,0.4138,11,0
4027,0.5192,11,0
4028,0.6809,11,0
4034,0.2917,10,0
4039,0.7358,11,2
4041,0.4875,11,0
4043,0.3696,11,0
4048,0.5612,11,1
4050,0.5833,11,0
4054,0.2727,10,0
4057,0.3929,11,0
4060,0.3462,11,0
4061,0.3393,11,0
4063,0.7167,11,2
4065,0.6429,11,0
4068,0.6571,11,0
4069,0.5566,11,1
4073,0.3571,11,0
4074,0.4231,11,0
4079,0.4074,11,0
4085,0.4,11,0
4087,0.5185,11,0
4089,0.7063,11,2
4091,0.3333,10,0
4093,0.5,10,0
4096,0.4615,11,0
4097,0.3846,10,0
4099,0.6154,11,1
4104,0.4667,11,0
4111,0.2917,11,0
4112,0.4286,11,0
4114,0.3889,10,0
4118,0.5769,11,0
4119,0.4444,11,0
4121,0.4444,11,0
4122,0.54,11,0
4123,0.3125,10,0
4125,0.4135,11,2
4127,0.3333,10,0
4130,0.6316,11,0
4131,0.3571,11,1
4135,0.3875,11,0
4139,0.3333,11,0
4141,0.1818,11,0
4143,0.6915,11,0
4145,0.3333,11,0
4146,0.25,11,0
4150,0.5862,11,0
4152,0.5814,10,1
4153,0.5635,11,1
4159,0.3548,11,1
4160,0.381,11,0
4166,0.2222,11,0
4169,0.3148,10,0
4171,0.1905,10,0
4173,0.2931,10,0
4174,0.2,11,0
4175,0.5,11,0
4176,0.1875,11,0
4179,0.3333,10,0
4180,0.463,11,0
4181,0.6667,10,0
4182,0.4444,11,0
4183,0.5625,11,0
4186,0.4762,11,0
4187,0.5312,11,0
4188,0.7101,11,1
4189,0.4872,11,0
4191,0.3125,11,0
4192,0.5978,11,0
4198,0.5,11,0
4201,0.6333,11,1
4205,0.3462,11,0
4206,0.7701,11,2
4207,0.625,11,0
4213,0.734,11,2
4215,0.5,11,0
4216,0.4419,11,0
4219,0.4902,11,0
4225,0.1,11,0
4226,0.4286,10,0
4229,0.4,10,0
4230,0.2222,11,0
4232,0.3333,11,0
4237,0.5481,11,0
4238,0.3684,11,0
4239,0.3947,11,0
4241,0.2381,11,0
4242,0.475,11,0
4252,0.3182,11,1
4253,0.8235,11,1
4255,0.7167,11,0
4256,0.6774,11,0
4260,0.3636,10,0
4265,0.6778,11,3
4269,0.4545,10,0
4270,0.4615,9,0
4272,0.717,11,1
4276,0.4583,11,0
4277,0.5,11,0
4285,0.5,11,0
4286,0.5833,10,1
4290,0.5312,11,1
4291,0.5741,11,0
4292,0.4,11,0
4293,0.569,11,0
4295,0.3462,11,0
4299,0.4,10,0
4306,0.2667,11,0
4309,0.4667,10,1
4311,0.5577,11,0
4319,0.3704,11,0
4320,0.3704,11,0
4322,0.5,11,0
4325,0.5111,10,0
4327,0.5652,11,0
4328,0.3846,10,0
4329,0.5488,11,0
4330,0.25,11,0
4332,0.3,11,0
4336,0.4074,11,0
4337,0.4167,11,0
4338,0.5682,11,0
4342,0.65,11,0
4343,0.4667,11,0
4355,0.4815,11,0
4360,0.5,10,0
4361,0.5179,11,0
4362,0.6458,11,2
4364,0.51,11,0
4371,0.6,11,0
4373,0.6429,11,0
4375,0.5161,11,0
4377,0.5227,11,0
4381,0.7097,11,2
4382,0.2083,9,0
4384,0.5,11,1
4386,0.3846,11,0
4388,0.4194,11,0
4390,0.3125,11,0
4391,0.6271,11,0
4392,0.5614,11,1
4395,0.4038,11,1
4398,0.2917,11,0
4400,0.5,11,1
4401,0.5,11,0
4403,0.6667,11,0
4405,0.4333,11,0
4414,0.8896,4,4
4415,0.7615,9,2
4416,0.4714,9,0
4418,0.5152,9,0
4419,0.7273,3,0
4421,0.6364,1,1
4450,0.3889,10,0
4451,0.7692,10,2
4453,0.5326,10,1
4455,0.3333,10,0
4456,0.36,10,0
4458,0.4423,10,0
4459,0.3913,9,0
4462,0.4167,10,0
4464,0.2,10,0
4467,0.4815,10,0
4469,0.4655,10,0
4470,0.5294,9,0
4471,0.3182,10,0
4472,0.6696,10,2
4473,0.2692,10,0
4476,0.65,10,2
4480,0.5,10,0
4481,0.7889,9,1
4485,0.4167,10,0
4488,0.6562,10,2
4499,0.7429,10,0
4500,0.5,10,0
4501,0.4419,10,0
4504,0.2727,9,0
4505,0.2609,10,0
4509,0.7,9,0
4511,0.4444,10,0
4512,0.6625,10,0
4513,0.4167,10,0
4516,0.4615,10,0
4522,0.75,10,2
4523,0.4545,10,0
4531,0.4091,10,0
4533,0.38,10,0
4534,0.5104,10,0
4536,0.8,10,0
4537,0.3333,10,0
4539,0.4167,10,0
4541,0.6429,10,0
4546,0.3654,10,0
4547,0.4167,10,0
4549,0.3333,10,0
4550,0.4259,10,0
4561,0.6538,10,1
4562,0.3333,10,0
4564,0.66,10,1
4565,0.5294,10,0
4567,0.3333,10,0
4568,0.3542,9,0
4571,0.75,10,0
4572,0.4231,9,0
4573,0.3448,10,0
4575,0.4516,10,0
4576,0.5926,10,0
4579,0.3448,10,0
4582,0.3636,10,0
4585,0.2727,10,0
4586,0.4884,10,0
4587,0.4524,10,0
4590,0.5417,10,0
4592,0.5357,10,1
4593,0.4868,10,1
4594,0.2222,9,0
4597,0.2083,9,0
4598,0.3889,10,1
4600,0.3571,7,0
4601,0.4444,10,0
4603,0.2,10,0
4607,0.6136,10,0
4610,0.4783,10,1
4611,0.64,10,1
4613,0.8125,8,1
4617,0.4419,6,0
4619,0.2273,10,0
4622,0.5556,10,0
4623,0.3333,10,0
4624,0.5455,10,0
4627,0.3571,9,0
4628,0.4167,7,0
4630,0.2727,9,0
4632,0.5,9,0
4635,0.8667,10,3
4637,0.3333,9,0
4638,0.4359,10,0
4639,0.6429,10,0
4641,0.5435,10,0
4643,0.4483,10,0
4645,0.4048,10,0
4646,0.6667,10,0
4648,0.3,10,0
4652,0.4022,7,0
4653,0.4545,10,0
4655,0.4286,10,0
4656,0.4444,10,0
4661,0.2917,10,0
4662,0.5,10,0
4663,0.5893,10,0
4664,0.2,10,0
4669,0.5,10,0
4674,0.4524,10,0
4678,0.7541,10,2
4680,0.4032,10,0
4682,0.4828,10,0
4692,0.4,10,0
4693,0.3,10,0
4701,0.4222,10,0
4702,0.2,9,0
4703,0.5556,6,0
4707,0.25,9,0
4711,0.3043,9,0
4715,0.3333,10,0
4717,0.3333,10,0
4723,0.5,9,0
4728,0.6207,10,0
4729,0.4667,7,0
4731,0.5833,10,0
4734,0.4375,10,0
4735,0.4875,10,1
4737,0.3462,10,0
4738,0.5,10,0
4739,0.2667,8,0
4741,0.2222,10,0
4744,0.5,10,0
4748,0.2727,10,0
4750,0.4583,10,0
4758,0.4375,10,0
4761,0.4405,10,0
4764,0.3889,5,0
4765,0.3571,9,0
4766,0.5882,1,0
4774,0.75,10,1
4775,0.4875,10,2
4776,0.4043,10,2
4778,0.4545,10,0
4779,0.3913,10,0
4782,0.3571,9,0
4786,0.5263,10,0
4787,0.4091,10,0
4795,0.7424,10,1
4809,0.4286,10,0
4810,0.3519,10,0
4816,0.2857,10,0
4817,0.4423,10,0
4821,0.5556,10,1
4823,0.5,8,0
4827,0.4333,10,0
4828,0.5667,10,0
4829,0.65,10,1
4835,0.3148,10,0
4838,0.5,8,0
4851,0.4423,10,0
4854,0.3958,10,0
4855,0.4186,10,0
4859,0.25,10,0
4903,0.4118,9,0
4904,0.475,9,0
4905,0.6774,9,1
4906,0.4286,9,0
4907,0.6724,9,1
4908,0.1667,9,0
4909,0.637,9,0
4911,0.7536,9,2
4915,0.4881,9,0
4917,0.5375,8,1
4918,0.3214,9,0
4919,0.5833,9,0
4925,0.375,9,0
4926,0.623,9,1
4930,0.4,10,1
4931,0.6111,9,1
4935,0.3929,9,0
4944,0.475,9,1
4946,0.4722,9,0
4947,0.5385,9,0
4951,0.5,7,0
4952,0.5333,9,0
4955,0.5455,8,0
4956,0.5536,9,0
4957,0.1111,8,0
4959,0.6471,9,0
4961,0.375,9,0
4964,0.2727,8,0
4967,0.5638,9,1
4972,0.3077,6,0
4973,0.4375,10,0
4976,0.6375,8,1
4978,0.4545,9,0
4980,0.4286,9,0
4982,0.3542,9,1
4983,0.4808,9,0
4984,0.5185,9,0
4987,0.2083,9,0
4988,0.4464,9,0
4990,0.5,9,0
4991,0.4286,9,0
4994,0.5366,9,0
4998,0.4423,9,0
4999,0.3462,7,0
5000,0.375,9,0
5002,0.4737,8,0
5005,0.1905,9,0
5006,0.2286,9,1
5010,0.5185,9,0
5012,0.4375,9,0
5013,0.625,10,0
5016,0.5417,9,0
5019,0.1667,9,0
5024,0.383,9,0
5025,0.2857,9,0
5026,0.4483,9,0
5027,0.4444,9,0
5031,0.5556,8,1
5032,0.537,9,0
5036,0.4583,8,1
5041,0.2727,9,0
5045,0.4,8,0
5046,0.3605,9,0
5048,0.3542,8,0
5049,0.5,9,0
5050,0.661,9,2
5052,0.54,10,1
5053,0.4516,9,0
5056,0.4857,9,0
5057,0.4167,9,0
5059,0.3333,9,0
5060,0.2917,7,0
5065,0.3846,9,0
5066,0.4833,9,0
5067,0.3947,9,0
5070,0.2308,9,0
5071,0.4615,9,0
5084,0.7059,9,0
5086,0.6518,9,1
5089,0.561,9,1
5090,0.6316,9,2
5096,0.4167,9,0
5098,0.4222,9,1
5099,0.3636,8,0
5103,0.5417,9,0
5104,0.697,9,0
5109,0.5185,9,0
5110,0.4583,9,0
5112,0.5455,9,1
5113,0.3571,9,0
5114,0.7215,9,2
5115,0.4583,9,0
5119,0.6429,9,0
5123,0.3,8,0
5124,0.4444,9,0
5125,0.4211,9,0
5126,0.4516,9,0
5130,0.2727,8,0
5133,0.4,7,0
5135,0.4111,9,0
5136,0.3571,9,0
5137,0.5238,9,0
5141,0.5294,9,0
5142,0.4231,9,0
5143,0.2222,8,0
5144,0.45,8,0
5145,0.1667,9,0
5147,0.4706,9,0
5148,0.42,9,0
5149,0.2,8,0
5150,0.4694,9,2
5152,0.623,9,0
5160,0.4595,9,0
5162,0.25,9,0
5166,0.5526,9,0
5167,0.4884,9,0
5171,0.5909,9,0
5172,0.8372,9,2
5176,0.2,9,0
5181,0.4419,9,1
5182,0.3704,8,0
5183,0.3125,9,0
5188,0.4,9,0
5189,0.1667,7,0
5190,0.5444,9,0
5193,0.5119,9,0
5197,0.375,8,0
5199,0.6667,9,1
5203,0.25,9,0
5205,0.5673,9,0
5212,0.4583,9,0
5214,0.4,9,0
5216,0.6696,9,2
5217,0.5,9,0
5219,0.3125,7,0
5224,0.4444,8,0
5225,0.375,9,0
5229,0.4615,9,0
5230,0.4464,9,0
5231,0.3846,9,0
5232,0.5,9,0
5234,0.5385,9,0
5235,0.5161,9,0
5239,0.4375,8,0
5242,0.413,9,2
5243,0.2,9,1
5247,0.35,9,0
5253,0.3333,9,0
5255,0.3333,7,0
5256,0.4167,9,0
5260,0.3889,9,0
5261,0.3214,9,0
5263,0.3333,9,0
5265,0.24,9,0
5268,0.2692,8,0
5271,0.55,7,0
5274,0.5333,9,0
5275,0.5417,9,0
5276,0.4286,9,0
5278,0.3,9,0
5282,0.4107,9,0
5283,0.5556,9,0
5285,0.2727,9,0
5291,0.4667,8,0
5293,0.3667,9,0
5295,0.3571,9,0
5298,0.3816,9,1
5299,0.3,9,0
5312,0.2727,9,0
5314,0.6047,9,0
5331,0.4667,6,0
5332,0.3871,9,0
5338,0.4894,9,0
5339,0.4091,9,0
5347,0.3462,8,0
5348,0.5333,9,0
5401,0.4286,8,0
5402,0.4231,7,0
5406,0.7288,8,2
5407,0.4318,8,1
5409,0.7685,7,3
5410,0.4878,8,0
5411,0.369,8,0
5413,0.2222,8,0
5414,0.5873,8,0
5417,0.5122,8,0
5419,0.6522,6,0
5420,0.3929,8,0
5421,0.5,8,0
5422,0.24,8,2
5424,0.4688,8,0
5427,0.3875,8,1
5429,0.35,8,0
5430,0.2917,8,0
5431,0.6222,8,0
5434,0.7692,8,0
5436,0.4643,8,0
5437,0.4167,8,0
5438,0.6154,7,0
5439,0.48,8,0
5440,0.3636,7,0
5442,0.431,8,0
5443,0.25,7,0
5448,0.375,8,0
5450,0.3077,8,0
5454,0.551,8,1
5457,0.2083,8,0
5458,0.4306,9,1
5459,0.2857,8,0
5460,0.723,8,2
5461,0.3571,8,0
5462,0.5463,8,0
5464,0.6,8,0
5467,0.3846,8,0
5468,0.4891,8,0
5470,0.2083,8,0
5472,0.663,8,0
5474,0.4444,8,0
5478,0.4516,8,1
5480,0.5,8,0
5484,0.5934,8,1
5486,0.3333,8,0
5490,0.4634,8,0
5491,0.3333,8,0
5492,0.4231,8,0
5493,0.2308,8,0
5494,0.3659,6,0
5498,0.625,8,1
5500,0.1818,7,0
5501,0.4815,8,0
5503,0.3409,8,1
5504,0.4375,8,0
5505,0.6228,8,0
5507,0.5156,8,0
5509,0.4048,8,1
5511,0.5114,8,1
5517,0.5294,7,0
5518,0.5,8,0
5523,0.2708,8,0
5525,0.4545,7,0
5526,0.375,8,1
5528,0.4286,7,0
5530,0.3667,8,0
5531,0.3704,8,0
5532,0.3958,8,0
5533,0.1875,8,0
5534,0.4194,8,0
5535,0.4884,7,0
5538,0.4898,8,1
5539,0.2727,6,0
5541,0.3,8,0
5546,0.4,8,0
5547,0.4149,8,1
5549,0.4875,8,0
5550,0.4038,8,0
5553,0.4643,8,0
5554,0.4362,8,0
5555,0.5,8,1
5557,0.55,7,0
5559,0.4545,8,1
5561,0.4483,8,0
5562,0.25,8,0
5563,0.4898,8,2
5564,0.4118,7,0
5567,0.4464,8,0
5570,0.1,7,0
5572,0.5204,8,0
5576,0.3636,8,0
5577,0.35,8,1
5578,0.6,8,0
5583,0.5,8,0
5584,0.6,8,0
5586,0.2727,8,0
5587,0.5096,8,3
5588,0.3929,8,0
5599,0.4,8,0
5603,0.5682,8,0
5607,0.4,8,0
5610,0.5,7,0
5612,0.5484,8,1
5613,0.4625,8,0
5614,0.5319,8,1
5618,0.3636,8,0
5619,0.5192,8,0
5623,0.5341,7,0
5624,0.0833,8,0
5626,0.6,8,0
5632,0.4314,8,0
5635,0.4286,8,0
5638,0.5,8,0
5641,0.3571,8,0
5642,0.2708,7,0
5651,0.3478,8,0
5653,0.6071,8,0
5654,0.5435,8,0
5655,0.3333,8,0
5658,0.3,8,0
5659,0.5417,7,0
5660,0.5957,8,0
5665,0.5,8,0
5666,0.4167,8,0
5667,0.4444,8,0
5669,0.2727,8,0
5672,0.3333,8,0
5674,0.3929,8,0
5675,0.6458,8,1
5676,0.4677,8,0
5679,0.35,8,0
5682,0.4583,8,0
5683,0.4259,8,0
5684,0.5179,8,0
5687,0.6385,8,0
5690,0.5862,8,0
5695,0.5,8,0
5696,0.3,8,0
5697,0.3125,8,0
5700,0.3333,8,0
5702,0.375,8,0
5704,0.2708,6,0
5705,0.6458,8,1
5706,0.375,8,0
5708,0.4062,8,0
5709,0.375,8,0
5712,0.7131,8,2
5714,0.4375,8,0
5715,0.537,8,0
5716,0.5,8,0
5720,0.3333,8,0
5722,0.25,8,0
5724,0.5982,8,1
5726,0.5,7,0
5727,0.6402,8,3
5728,0.2727,7,0
5729,0.2857,8,0
5732,0.5349,8,0
5735,0.4828,8,0
5736,0.6061,8,0
5740,0.5179,8,0
5744,0.6667,8,0
5752,0.3333,7,0
5756,0.3065,8,0
5762,0.4038,8,0
5763,0.3846,8,0
5773,0.125,8,0
5785,0.2727,8,0
5800,0.3,7,0
5801,0.62,7,0
5802,0.3846,6,0
5804,0.5806,7,2
5805,0.5,7,0
5806,0.4615,7,1
5809,0.3571,7,1
5811,0.5556,7,0
5813,0.8511,8,2
5816,0.3913,7,0
5817,0.5,8,1
5818,0.4643,7,0
5822,0.46,7,0
5826,0.3333,6,0
5827,0.5678,7,1
5828,0.3611,7,0
5829,0.4651,7,0
5830,0.3043,7,0
5835,0.2727,7,0
5837,0.6154,7,0
5841,0.25,7,0
5842,0.5,7,0
5843,0.4839,7,0
5846,0.5417,7,2
5847,0.6071,7,0
5851,0.44,6,0
5856,0.5,6,0
5857,0.5,7,0
5860,0.4815,7,0
5863,0.3333,7,0
5865,0.5455,6,0
5866,0.4423,7,0
5869,0.413,7,0
5871,0.2174,7,0
5872,0.5,7,0
5874,0.1,7,0
5876,0.3684,7,1
5878,0.2917,7,0
5881,0.6471,7,0
5887,0.2941,7,0
5889,0.4286,7,0
5892,0.4405,7,0
5894,0.4286,7,0
5895,0.8478,7,3
5900,0.3158,7,0
5901,0.4464,7,0
5902,0.4583,7,0
5903,0.6429,7,1
5907,0.5,7,0
5908,0.3684,7,0
5913,0.7436,7,1
5914,0.5517,7,0
5915,0.2917,7,0
5918,0.3333,7,0
5920,0.4762,7,0
5923,0.4,7,0
5924,0.2692,6,0
5926,0.5106,7,0
5927,0.431,7,0
5928,0.3333,6,0
5929,0.2,6,0
5930,0.4667,7,0
5932,0.55,5,0
5933,0.4815,7,0
5934,0.375,7,0
5935,0.4545,7,0
5937,0.3793,7,0
5940,0.8033,7,2
5941,0.36,5,0
5948,0.5312,7,1
5951,0.4231,6,0
5954,0.35,6,0
5959,0.4583,7,0
5962,0.3125,7,0
5965,0.0476,7,0
5968,0.3684,7,0
5970,0.5469,7,0
5971,0.6364,5,0
5973,0.4545,6,0
5975,0.2692,7,0
5980,0.4146,7,1
5982,0.375,7,0
5985,0.4483,7,1
5986,0.4667,7,1
5987,0.6613,7,1
5988,0.2,7,0
5990,0.4082,7,1
5992,0.2708,7,0
5993,0.4545,7,0
5996,0.3,6,0
5997,0.4643,7,0
6000,0.2727,7,0
6002,0.4556,7,0
6004,0.25,7,0
6005,0.3846,7,0
6014,0.375,7,0
6016,0.2708,7,0
6017,0.4,7,0
6020,0.3333,7,0
6023,0.3167,7,0
6024,0.3676,7,0
6025,0.4375,7,0
6026,0.625,7,0
6029,0.2679,7,0
6032,0.1818,7,0
6033,0.4348,7,0
6035,0.375,7,0
6036,0.6875,7,1
6044,0.3333,7,0
6045,0.3,6,0
6047,0.2222,7,0
6050,0.3077,7,0
6055,0.5,6,0
6057,0.4833,7,1
6059,0.4231,7,0
6060,0.5,7,0
6064,0.7742,7,1
6067,0.3929,7,0
6068,0.5385,6,0
6071,0.3846,7,0
6072,0.3043,7,0
6073,0.4615,7,0
6076,0.3667,7,0
6077,0.4643,7,0
6078,0.5702,7,0
6079,0.3036,7,0
6081,0.5,7,0
6083,0.4444,7,0
6085,0.4545,7,1
6087,0.4889,7,0
6088,0.45,7,0
6089,0.3958,6,0
6090,0.5568,7,0
6091,0.4167,6,0
6096,0.3077,7,0
6097,0.4231,7,0
6098,0.375,7,0
6099,0.4375,7,0
6100,0.3871,7,0
6101,0.4583,7,0
6102,0.4583,7,0
6104,0.5568,7,1
6106,0.2,6,0
6107,0.3571,7,0
6112,0.587,7,0
6113,0.4423,7,0
6114,0.55,7,1
6120,0.4886,7,1
6121,0.3214,7,0
6122,0.4333,7,1
6127,0.3636,7,0
6128,0.4667,7,1
6132,0.1,7,0
6135,0.4222,7,0
6145,0.3333,7,0
6146,0.4783,7,0
6147,0.5556,7,0
6150,0.3846,7,0
6152,0.5167,7,0
6153,0.5,7,1
6155,0.5,7,0
6157,0.4118,7,0
6160,0.6667,7,0
6161,0.4231,7,0
6162,0.4444,7,0
6166,0.4545,7,0
6167,0.3182,7,0
6168,0.4186,7,1
6170,0.4167,7,0
6171,0.375,7,0
6175,0.3929,7,0
6180,0.4231,7,0
6181,0.4545,7,0
6184,0.3333,6,0
6189,0.35,7,0
6190,0.2083,7,0
6191,0.3,7,0
6194,0.3784,6,1
6199,0.4,7,0
6200,0.5,7,0
6201,0.4125,7,0
6213,0.4,7,0
6214,0.375,7,0
6217,0.4583,7,0
6220,0.2727,6,0
6223,0.2083,6,0
6226,0.5357,7,0
6230,0.3621,7,0
6232,0.8125,7,0
6238,0.4038,5,0
6239,0.2,6,0
6240,0.3125,5,0
6300,0.4118,7,0
6302,0.1818,6,0
6305,0.3929,5,0
6317,0.4167,6,0
6318,0.1111,6,0
6322,0.4444,6,0
6323,0.4348,5,0
6324,0.3571,6,0
6326,0.4444,6,1
6327,0.381,6,0
6328,0.8103,6,5
6329,0.7593,6,0
6331,0.2222,5,0
6333,0.4138,6,0
6340,0.5877,6,0
6341,0.4756,6,0
6343,0.375,6,0
6344,0.3837,6,0
6345,0.5,6,0
6346,0.375,6,0
6348,0.75,6,0
6350,0.5455,6,0
6351,0.5263,5,0
6352,0.625,6,0
6355,0.1111,4,0
6357,0.3846,6,0
6358,0.3333,6,0
6364,0.8077,5,1
6366,0.42,6,0
6367,0.3333,5,0
6369,0.4545,6,0
6377,0.4255,7,0
6381,0.5385,6,0
6390,0.625,5,1
6391,0.5484,6,0
6397,0.2766,5,0
6398,0.3182,6,0
6401,0.4062,6,0
6402,0.5333,6,0
6411,0.5455,5,0
6413,0.4167,6,1
6415,0.3846,6,0
6417,0.55,5,0
6418,0.4348,6,0
6419,0.44,7,0
6420,0.4605,6,0
6421,0.6639,6,2
6423,0.4286,6,0
6424,0.5,7,1
6428,0.3333,6,0
6429,0.3182,6,1
6430,0.375,6,0
6431,0.4,5,0
6432,0.35,6,0
6434,0.4,6,0
6436,0.7188,6,0
6443,0.4483,6,0
6453,0.6154,6,1
6455,0.3636,6,0
6459,0.3333,5,0
6464,0.4,6,0
6465,0.2368,6,0
6471,0.3571,6,0
6473,0.5652,6,0
6476,0.4667,6,0
6479,0.4,6,0
6483,0.0833,6,0
6485,0.6842,6,0
6486,0.5625,4,0
6498,0.48,6,1
6499,0.4545,6,0
6500,0.6327,6,0
6502,0.5472,6,0
6504,0.5526,6,1
6506,0.3333,6,0
6508,0.5333,5,0
6510,0.6552,6,1
6512,0.3846,5,0
6517,0.6333,6,0
6519,0.3,6,0
6527,0.1667,5,0
6528,0.4423,6,1
6529,0.4167,5,0
6532,0.5769,6,0
6533,0.4231,6,0
6538,0.5172,6,0
6548,0.375,6,0
6552,0.3125,5,0
6556,0.2708,6,0
6558,0.3036,6,0
6560,0.6754,6,1
6561,0.3553,6,0
6565,0.375,6,0
6566,0.4242,6,0
6569,0.4889,6,0
6570,0.4464,6,0
6574,0.5811,6,0
6575,0.4615,6,0
6580,0.6304,6,0
6581,0.2083,6,0
6586,0.3462,6,1
6588,0.4,6,0
6591,0.4138,6,0
6593,0.3,5,0
6605,0.4,5,0
6606,0.35,6,0
6608,0.5385,6,0
6610,0.35,6,0
6615,0.5385,6,0
6616,0.4444,6,0
6618,0.6818,6,1
6619,0.4444,6,0
6620,0.4444,6,0
6621,0.3,6,0
6622,0.4667,6,1
6628,0.35,5,0
6631,0.3958,6,0
6636,0.5,6,0
6637,0.582,6,3
6639,0.25,6,0
6642,0.4681,6,1
6643,0.2083,6,0
6645,0.4615,6,0
6647,0.6296,6,0
6648,0.7,5,0
6651,0.381,5,0
6652,0.5,6,1
6657,0.3125,6,0
6658,0.3182,6,0
6662,0.0,6,0
6665,0.4167,6,0
6672,0.6507,6,2
6676,0.3,6,0
6682,0.25,6,0
6686,0.25,6,0
6690,0.4878,6,0
6693,0.1818,5,0
6694,0.6429,6,0
6695,0.2778,6,0
6696,0.375,6,0
6702,0.4167,5,0
6704,0.2857,6,0
6705,0.6939,6,0
6709,0.2,6,0
6711,0.2857,5,0
6712,0.3929,6,1
6721,0.3333,6,0
6722,0.4286,5,0
6723,0.3846,6,0
6729,0.5,5,0
6731,0.4516,6,0
6732,0.2727,6,0
6738,0.4464,6,0
6740,0.4,6,0
6741,0.4032,6,1
6743,0.6364,5,0
6744,0.4167,6,0
6749,0.5357,6,1
6753,0.4792,6,0
6758,0.5556,5,0
6762,0.125,6,0
6763,0.3462,6,0
6764,0.25,6,0
6768,0.5385,5,0
6800,0.8378,5,4
6802,0.4872,5,0
6805,0.5185,5,0
6806,0.4706,5,0
6808,0.38,5,0
6809,0.5556,5,0
6814,0.381,5,0
6817,0.3214,5,0
6821,0.3333,5,0
6822,0.2083,5,0
6823,0.6707,5,0
6824,0.2,5,0
6825,0.45,5,0
6829,0.5849,5,0
6830,0.375,5,0
6831,0.5341,5,1
6832,0.5217,4,0
6833,0.38,5,0
6834,0.4545,5,0
6838,0.8415,6,2
6840,0.5,5,0
6843,0.3333,4,0
6844,0.5172,5,1
6850,0.6111,5,0
6859,0.5,4,1
6860,0.2917,5,0
6861,0.5222,5,0
6863,0.35,5,0
6864,0.4531,4,0
6865,0.2333,5,0
6868,0.3333,6,0
6869,0.4167,4,0
6872,0.2222,3,0
6873,0.4,4,0
6875,0.2333,6,0
6877,0.4231,5,0
6880,0.4545,4,0
6882,0.3,5,0
6884,0.2857,5,0
6885,0.2222,5,0
6887,0.36,5,0
6888,0.4651,6,0
6894,0.5323,5,0
6895,0.375,5,0
6896,0.4375,5,0
6897,0.4074,6,0
6901,0.4375,5,0
6902,0.7,5,0
6904,0.5455,5,0
6905,0.3333,5,0
6908,0.3542,5,0
6909,0.3571,5,0
6910,0.4286,5,1
6911,0.4833,5,0
6914,0.4828,5,0
6916,0.1111,4,0
6918,0.425,5,0
6919,0.7231,5,2
6921,0.4231,5,0
6925,0.3837,5,0
6929,0.3636,5,0
6932,0.4038,5,0
6933,0.5795,5,0
6934,0.0909,5,0
6936,0.4583,5,0
6937,0.3,4,0
6945,0.125,5,0
6947,0.5333,5,0
6948,0.6333,5,0
6956,0.4468,6,0
6961,0.4545,5,0
6962,0.5714,5,0
6963,0.45,5,1
6964,0.3333,4,0
6968,0.1111,5,0
6969,0.325,5,0
6974,0.4286,4,0
6978,0.4265,5,0
6981,0.0909,5,0
6985,0.5833,6,0
6988,0.3158,6,0
6989,0.3971,6,0
6995,0.58,5,0
6998,0.413,5,1
7018,0.3,5,0
7021,0.7381,5,1
7028,0.7,6,0
7030,0.35,5,0
7031,0.4,4,0
7034,0.7353,5,2
7035,0.25,6,0
7036,0.5,4,0
7037,0.5714,5,0
7038,0.55,5,0
7039,0.4783,5,0
7040,0.5455,5,0
7042,0.5968,5,0
7045,0.475,5,0
7048,0.4545,4,0
7054,0.4754,5,0
7056,0.54,5,1
7064,0.3333,5,0
7067,0.6562,5,0
7068,0.4773,5,0
7072,0.52,5,1
7077,0.3182,5,0
7085,0.4333,5,0
7086,0.4,6,0
7088,0.4483,4,0
7091,0.3333,4,0
7094,0.5185,5,1
7102,0.5833,4,0
7103,0.5667,5,0
7104,0.4194,5,0
7106,0.4286,4,0
7109,0.3548,5,0
7110,0.5333,5,0
7111,0.5714,5,0
7112,0.431,5,0
7115,0.4167,4,0
7117,0.3333,5,0
7119,0.4167,4,0
7121,0.4222,5,0
7125,0.4318,5,0
7127,0.5167,4,1
7128,0.5,4,0
7130,0.3667,5,0
7137,0.45,5,0
7144,0.4333,4,0
7145,0.4655,5,0
7147,0.4231,5,0
